service_id,date,exception_type
20451,20160115,2
20451,20160116,2
20451,20160118,2
20451,20160119,2
20451,20160120,2
20451,20160121,2
20451,20160122,2
20451,20160123,2
20451,20160125,2
20451,20160126,2
20451,20160127,2
20451,20160128,2
20451,20160129,2
20451,20160130,2
20451,20160201,2
20451,20160202,2
20451,20160203,2
20451,20160204,2
20451,20160205,2
20451,20160206,2
20451,20160208,2
20451,20160209,2
20451,20160210,2
20451,20160211,2
20451,20160212,2
20451,20160213,2
20451,20160215,2
20451,20160216,2
20451,20160217,2
20451,20160218,2
20451,20160219,2
20451,20160220,2
20451,20160222,2
20451,20160223,2
20451,20160225,2
20451,20160226,2
20451,20160227,2
20452,20151231,2
20452,20160101,2
20452,20160102,2
20452,20160103,2
20452,20160104,2
20452,20160105,2
20452,20160106,2
20452,20160107,2
20452,20160108,2
20452,20160109,2
20452,20160110,2
20452,20160224,2
20458,20151231,2
20458,20160101,2
20458,20160102,2
20458,20160104,2
20458,20160105,2
20458,20160106,2
20458,20160107,2
20458,20160108,2
20458,20160109,2
20458,20160111,2
20458,20160112,2
20458,20160113,2
20458,20160114,2
20458,20160115,2
20458,20160116,2
20458,20160118,2
20458,20160119,2
20458,20160120,2
20458,20160121,2
20458,20160122,2
20458,20160123,2
20458,20160125,2
20458,20160126,2
20458,20160127,2
20458,20160128,2
20458,20160129,2
20458,20160130,2
20458,20160201,2
20458,20160202,2
20458,20160203,2
20458,20160204,2
20458,20160205,2
20458,20160206,2
20458,20160208,2
20458,20160209,2
20458,20160210,2
20458,20160211,2
20458,20160212,2
20458,20160213,2
20458,20160215,2
20458,20160216,2
20458,20160217,2
20458,20160218,2
20458,20160219,2
20458,20160220,2
20458,20160222,2
20458,20160223,2
20458,20160225,2
20458,20160226,2
20458,20160227,2
20460,20160101,2
20460,20160111,2
20460,20160112,2
20460,20160113,2
20460,20160114,2
20460,20160115,2
20460,20160118,2
20460,20160119,2
20460,20160120,2
20460,20160121,2
20460,20160122,2
20460,20160125,2
20460,20160126,2
20460,20160127,2
20460,20160128,2
20460,20160129,2
20460,20160201,2
20460,20160202,2
20460,20160203,2
20460,20160204,2
20460,20160205,2
20460,20160208,2
20460,20160209,2
20460,20160210,2
20460,20160211,2
20460,20160212,2
20460,20160215,2
20460,20160216,2
20460,20160217,2
20460,20160218,2
20460,20160219,2
20460,20160222,2
20460,20160223,2
20460,20160224,2
20460,20160225,2
20460,20160226,2
20462,20160101,2
20462,20160224,2
20468,20151231,2
20468,20160101,2
20468,20160102,2
20468,20160103,2
20468,20160104,2
20468,20160105,2
20468,20160106,2
20468,20160107,2
20468,20160108,2
20468,20160109,2
20468,20160110,2
20468,20160224,2
20523,20160101,2
20523,20160224,2
20523,20160325,2
20523,20160623,2
20523,20160624,2
20523,20160820,2
20523,20161224,2
20523,20161226,2
20525,20160101,2
20525,20160224,2
20525,20160325,2
20525,20160623,2
20525,20160624,2
20525,20161226,2
20527,20160101,2
20527,20160224,2
20527,20160325,2
20527,20160623,2
20527,20160624,2
20527,20161226,2
20541,20160101,2
20541,20160224,2
20541,20160325,2
20541,20160327,2
20541,20160501,2
