route_id,agency_id,route_short_name,route_long_name,route_type,route_color,competent_authority
4730f41a4322a28dce82a251e8482756,100046,10-III,Paide keskväljak - Türi - Särevere,3,00933C,Järvamaa ÜTK
4d286471edfda6dc86bd095e8dea1556,100046,10-IV,Paide keskväljak - Türi - Särevere,3,00933C,Järvamaa ÜTK
734bfe77ff14d43c73fd2497ad824568,100046,10-VI,Paide keskväljak - Türi - Särevere,3,00933C,Järvamaa ÜTK
ccff7e721ae1d9a66edf04d6989c4c18,0,11,Sauga alevik - Teater - Vana-Pärnu,3,DE2C42,Pärnu LV
5eb9147b09d7bd1f84594f56d70530a8,50,11,Tähe - Ravila Tööstuspark - Tähe,3,DE2C42,Tartu LV
71c73da049eac0bb398435771e330809,56,11,Kadaka - Kunstiakadeemia,3,DE2C42,Tallinna TA
f1473872e55fe8f2d3fdd5d6992ec78d,71,11,Rapla - Lelle - Kädva - Käru,3,00933C,Rapla MV
0e412ed6ef04cf2e264c3419fec15136,100047,11,Linna küla - Tõrva - Linna küla,3,00933C,Valga MV
3e663eca19d0e088427d92fe65f8fabd,100046,11,Paide bussijaam - Koeru,3,00933C,Järvamaa ÜTK
543e1e275d4b9d052697daa37df65ccb,60,11,Rakvere - Haljala,3,00933C,Lääne-Viru MV
3e0a48ba153e996bb200799d4b7bd401,60,11,Põlva - Kanepi,3,00933C,Põlva MV
71d5ccd6d92e2a7bf8951972a1fc741b,50,11,Kirepi - Turu - Kesklinna park,3,00933C,Võru MV
eebf944244390cb6962314e6a8981bbf,100046,110,Keila - Lohusalu,3,00933C,Harjumaa ÜTK
89af0955978ef261f3e85afd352033a7,60,110,Rakvere rdt jaam - Tudu - Rannapungerja - Mustvee - Kallaste,3,00933C,Jõgeva MV
ea656c9aaffc1dc3f3c347d35a7db99a,100046,1101,Iide-Mässa-Iide-Jämaja-Kaunispe-Lindmetsa-Anseküla-Salme-Kuressaare,3,00933C,Saare MV
aa0671283946cbc9be26728cc5545c40,100046,1102,Kuressaare-Salme-Anseküla-Kaunispe-Jämaja-Iide,3,00933C,Saare MV
ca3eb1337784f9a5b663b4f54d720698,100046,1103,Iide-Lopsigu-Mässa-Anseküla-Salme-Kuressaare,3,00933C,Saare MV
82219f5d63c6e29e7ce0590d219265e4,100046,1104,Kuressaare-Salme-Anseküla-Lindmetsa-Kaunispe-Jämaja-Iide,3,00933C,Saare MV
784c44f671b983752b979462d5838005,100046,1105,Kuressaare-Salme-Anseküla-Lindmetsa-Kaunispea-Jämaja-Iide,3,00933C,Saare MV
166f2ec5608c030444839725ba6846eb,100046,1106,Iide-Mässa-Salme-Kuressaare,3,00933C,Saare MV
2abc39f91adcdc4bea97e9939fefc6fb,100046,1107,Iide-Mässa-Anseküla-Salme-Kuressaare,3,00933C,Saare MV
899d0c574f3fafe37bf5edd75c701cc7,100046,1108,Kuressaare-Salme-Anseküla-Lindmetsa-Kaunispe-Jämaja-Iide,3,00933C,Saare MV
8abe43a5aea20f6efc7790a930499ea9,100046,1109,Iide-Mässa-Salme-Kuressaare,3,00933C,Saare MV
